"ID","Product Reference","Name*","UOM*","Product Category ID*","Product Category Name","Product Type","Sale Price","Purchase Price","Cost Price","Discount Price","Start Date","End Date","Description","Arabic Name","Quantity","Terminal ","Secondary / Default Unit","Secondary / Default Unit Qty","Brand","Product Group","Supplier Name","Active"
"'1745241675190","","Spring Rolls","Dozen","10003744","Appetizers","Item","40","0.1","0.1","0","","","","","-4","Kitchen","-","0","","","","Yes"
"'1745241745388","","roast beef and veg","EA","10004075","Main Dish","Item","280","0.1","0.1","0","","","","","-18.5","Kitchen","-","0","","","","Yes"
"'1745241830848","","Raheb Salad","EA","Salads","Salads","Item","70","0.1","0.1","0","","","","","-2","Kitchen","-","0","","","","Yes"
"'1745241902593","","Hindbeh","EA","Cold Mezze","Cold Mezze","Item","100","0.1","0.1","0","","","","","-11","Kitchen","-","0","","","","Yes"
"'1745242368639","","Mehchi Silik","EA","Cold Mezze","Cold Mezze","Item","130","0.1","0.1","0","","","","","-10.5","Kitchen","-","0","","","","Yes"
"'1745330164375","","Meghli","Each","1028429","Sweets","Item","20","0.1","0.1","0","","","","","-14","Kitchen","-","0","","","","Yes"
"'1745395230207","","Tuna Sandwich","Dozen","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-14","Kitchen","-","0","","","","Yes"
"'1745395269937","","Chicken Sandwich","Dozen","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-18","Kitchen","-","0","","","","Yes"
"'1745395308091","","Halloumi Sandwich","Dozen","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-10","Kitchen","-","0","","","","Yes"
"'1745395338880","","Turkey Sandwich","Dozen","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-6","Kitchen","-","0","","","","Yes"
"'1745395405347","","Boiled Eggs Sandwich","Dozen","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1745395504945","","Hotdog","Dozen","10003744","Appetizers","Item","35","0","0.1","0","","","","","-24.5","Kitchen","-","0","","","","Yes"
"'1745561935808","","Mini Burger Beef","EA","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-18","Kitchen","-","0","","","","Yes"
"'1745562066836","","Mini Burger Chicken","EA","10003744","Appetizers","Item","72","0.1","0.1","0","","","","","-5","Kitchen","-","0","","","","Yes"
"'1745562153180","","Custom Cake","Each","1028429","Sweets","Item","350","0.1","0.1","0","","","","","-50","Kitchen","-","0","","","","Yes"
"'1745761640521","","Potato Soufle","Each","10004075","Main Dish","Item","150","0.1","0.1","0","","","","","-18","Kitchen","-","0","","","","Yes"
"'1745838956513","","Roast Beef Mini Sandwish 12pcs","EA","Sandwiches","Sandwiches","Item","72","0.5","0.5","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1746002248279","","Asian Daily Dish","EA","10003722","Daily Dish","Item","12","0.1","0.1","0","","","","","-15095","Kitchen","-","0","","","","Yes"
"'1746109349123","","Big Bread","Each","1028429","Sweets","Item","10","0.1","0.1","0","","","","","-823","Kitchen","-","0","","","","Yes"
"'1746109580029","","Siyyadiyeh","Each","10004075","Main Dish","Item","300","0.1","0.1","0","","","","","-17.5","Kitchen","-","0","","","","Yes"
"'1746109895745","","Roast Beef","Each","10004075","Main Dish","Item","220","0.1","0.1","0","","","","","-5","Kitchen","-","0","","","","Yes"
"'1746110102097","","Kharouf Mehchi","Each","10004075","Main Dish","Item","320","0.1","0.1","0","","","","","-3","Kitchen","-","0","","","","Yes"
"'1746110143516","","Chicken Supreme","Each","10004075","Main Dish","Item","260","0.1","0.1","0","","","","","-13","Kitchen","-","0","","","","Yes"
"'1746449598826","","funderdome cake","EA","10003722","Daily Dish","Item","7996","5000","7996","0","2025-08-08 00:00:00","2025-08-08 00:00:00","","","-10","Kitchen","-","0","","","","Yes"
"'1746620873576","","Snayniye","Each","1028429","Sweets","Item","20","0.1","0.1","0","","","","","-12","Kitchen","-","0","","","","Yes"
"'1746725280448","","Rice with Meat","Each","10004075","Main Dish","Item","300","0.1","0.1","0","","","","","-12","Kitchen","-","0","","","","Yes"
"'1746725355684","","Chicken Caju with Nuts","Each","10004075","Main Dish","Item","260","0.1","0.1","0","","","","","-2","Kitchen","-","0","","","","Yes"
"'1746725390197","","Shrimps Spring Rolls ","Dozen","10003744","Appetizers","Item","45","0.1","0.1","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1746865542682","","Chicken With Rice","EA","10004075","Main Dish","Item","180","0.1","0.1","0","","","","","-30.5","Kitchen","-","0","","","","Yes"
"'1747224786795","","Vegetable Plate","Each","10003744","Appetizers","Item","120","0.1","0.1","0","","","","","-6","Kitchen","-","0","","","","Yes"
"'1747224880017","","Pumpkin Kebbeh","Each","10004075","Main Dish","Item","100","0.1","0.1","0","","","","","-26.5","Kitchen","-","0","","","","Yes"
"'1747296158206","","Zaatar","EA","Hot Mezze","Hot Mezze","Item","35","20","20","0","","","","","-33","Kitchen","-","0","","","","Yes"
"'1747485091032","","Fawarigh","EA","10003744","Appetizers","Item","160","100","100","0","","","","","-2","Kitchen","-","0","","","","Yes"
