Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800123,2025-08-28 16:40:25,Packon Trading,Yellow Bag Medium - 20KG_12034,Each,129,1,129,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Paper Cup Double Wall 500pcs_12030,Each,100,2,200,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Shopping Bag Small_12036,Each,18,1,18,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Shopping Bag Medium_12035,Each,33,1,33,0,Completed
800125,2025-08-28 16:50:53,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,1,99,0,Completed
800125,2025-08-28 16:50:53,BRF,Sadia Whole Chicken 1200 Gms - 10 Pcs/Ctn_16010,Each,105,2,210,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,Almond Slice 1 Kg_17038,Each,45,2,90,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,Wallnut 1 Kg_17039,Each,35,1,35,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,Sugar Renuka 50Kgs_17034,Each,108,1,108,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,Salt 25Kgs_17008,Each,15,1,15,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,QFM Flour No1 Bag 50 Kg_17032,Each,145,1,145,0,Completed
800126,2025-08-28 17:03:49,Al Majed Marketing & Distribution,Fresh Eggs Grade A -_21010,Each,125,2,250,0,Completed
800127,2025-08-30 14:43:49,Bluefin,Topside Chilled South Africa_15009,KG,32,20,640,0,Completed
800128,2025-08-30 15:33:54,Tredos Trading,Wabel Kaskawal Shredded Mozarells 6x2Kg_18020,Each,300,1,300,0,Completed
800129,2025-09-01 17:04:16,Fahed Foods w.l.l.,Frz EG Chopped Spinach 2.5KGx4 Hi-Chef_18032,Each,35,1,35,0,Completed
800129,2025-09-01 17:04:16,Fahed Foods w.l.l.,Frz EG Cauli Flower 2.5Kgx4 Hi-Chef_18013,Each,35,1,35,0,Completed
800129,2025-09-01 17:04:16,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,165,2,330,0,Completed
800129,2025-09-01 17:04:16,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,2,120,0,Completed
800130,2025-09-01 17:11:08,Bluefin,Tanmiah Plain Chicken Breast 6 OZ - Calibrated 5*2Kg_16011,Each,180,3,540,0,Completed
800131,2025-09-04 11:59:21,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,82,4,328,0,Completed
800131,2025-09-04 11:59:21,Al Majed Marketing & Distribution,Sunflower oil 4x5Lit_21000,Each,116,6,696,0,Completed
800131,2025-09-04 11:59:21,Al Majed Marketing & Distribution,Zeeba Rice 3 kgs x12_17000,Each,144,2,288,0,Completed
800131,2025-09-04 11:59:21,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,2,280,0,Completed
800132,2025-09-04 12:17:17,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800132,2025-09-04 12:17:17,Fahed Foods w.l.l.,Frz EG Chopped Spinach 2.5KGx4 Hi-Chef_18032,Each,35,2,70,0,Completed
